checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Medium,12,existing paid,new car,2002,Low,Experienced,3,male single,4,life insurance,30,rent,1,skilled,2,yes,1
Low,24,all paid,furniture/equipment,6872,Low,Amateur,2,male div/sep,1,life insurance,55,own,1,skilled,1,yes,0
Low,12,all paid,new car,697,Low,Amateur,4,male single,2,car,46,own,2,skilled,1,yes,0
Low,18,critical/other existing credit,furniture/equipment,1049,Low,Amateur,4,female div/dep/mar,4,life insurance,21,rent,1,skilled,1,yes,1
Low,48,existing paid,used car,10297,Low,Experienced,4,male single,4,no known property,39,for free,3,skilled,2,yes,0
No Checking,30,existing paid,radio/tv,1867,No Savings,Expert,4,male single,4,car,58,own,1,skilled,1,yes,1
Low,12,delayed previously,new car,1344,Low,Professional,4,male single,2,real estate,43,own,2,unskilled resident,2,yes,1
Low,24,existing paid,furniture/equipment,1747,Low,Amateur,4,male single,1,life insurance,24,own,1,unskilled resident,1,no,1
Medium,9,existing paid,radio/tv,1670,Low,Amateur,4,female div/dep/mar,2,car,22,own,1,skilled,1,yes,0
No Checking,9,critical/other existing credit,new car,1224,Low,Professional,3,male single,1,real estate,30,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,522,High,Expert,4,male single,4,life insurance,42,own,2,skilled,2,yes,1
Low,12,existing paid,radio/tv,1498,Low,Professional,4,female div/dep/mar,1,car,23,own,1,skilled,1,yes,1
Medium,30,delayed previously,radio/tv,1919,Medium,Amateur,4,male single,3,no known property,30,own,2,high qualif/self emp/mgmt,1,yes,0
High,9,existing paid,radio/tv,745,Low,Professional,3,female div/dep/mar,2,real estate,28,own,1,unskilled resident,1,yes,0
Medium,6,existing paid,radio/tv,2063,Low,Amateur,4,male mar/wid,3,car,30,rent,1,high qualif/self emp/mgmt,1,yes,1
Medium,60,existing paid,education,6288,Low,Professional,4,male single,4,no known property,42,for free,1,skilled,1,yes,0
No Checking,24,critical/other existing credit,used car,6842,No Savings,Professional,2,male single,4,life insurance,46,own,2,high qualif/self emp/mgmt,2,yes,1
No Checking,12,existing paid,new car,3527,No Savings,Amateur,2,male single,3,life insurance,45,own,1,high qualif/self emp/mgmt,2,yes,1
No Checking,10,existing paid,new car,1546,Low,Professional,3,male single,2,real estate,31,own,1,unskilled resident,2,no,1
No Checking,24,existing paid,furniture/equipment,929,No Savings,Experienced,4,male single,2,car,31,own,1,skilled,1,yes,1
No Checking,4,critical/other existing credit,new car,1455,Low,Experienced,2,male single,1,real estate,42,own,3,unskilled resident,2,yes,1
Low,15,existing paid,furniture/equipment,1845,Low,Amateur,4,female div/dep/mar,1,life insurance,46,rent,1,skilled,1,yes,1
Medium,48,no credits/all paid,new car,8358,High,Amateur,1,female div/dep/mar,1,car,30,own,2,skilled,1,yes,1
Low,24,all paid,furniture/equipment,3349,High,Amateur,4,male single,4,no known property,30,for free,1,skilled,2,yes,0
No Checking,12,existing paid,new car,2859,No Savings,Unemployed,4,male single,4,no known property,38,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,18,existing paid,furniture/equipment,1533,Low,Amateur,4,male mar/wid,1,life insurance,43,own,1,unskilled resident,2,yes,0
No Checking,24,existing paid,radio/tv,3621,Medium,Expert,2,male single,4,car,31,own,2,skilled,1,yes,0
Medium,18,critical/other existing credit,business,3590,Low,Unemployed,3,male mar/wid,3,car,40,own,3,unemp/unskilled non res,2,yes,1
Low,36,delayed previously,business,2145,Low,Experienced,2,male single,1,car,24,own,2,skilled,1,yes,0
Medium,24,existing paid,used car,4113,High,Amateur,3,female div/dep/mar,4,car,28,rent,1,skilled,1,yes,0
No Checking,36,existing paid,furniture/equipment,10974,Low,Unemployed,4,female div/dep/mar,2,car,26,own,2,high qualif/self emp/mgmt,1,yes,0
Low,12,existing paid,new car,1893,Low,Professional,4,female div/dep/mar,4,life insurance,29,own,1,skilled,1,yes,1
Low,24,critical/other existing credit,radio/tv,1231,High,Expert,4,female div/dep/mar,4,life insurance,57,rent,2,high qualif/self emp/mgmt,1,yes,1
High,30,critical/other existing credit,radio/tv,3656,No Savings,Expert,4,male single,4,life insurance,49,own,2,unskilled resident,1,yes,1
Medium,9,critical/other existing credit,radio/tv,1154,Low,Expert,2,male single,4,real estate,37,own,3,unskilled resident,1,yes,1
Low,28,existing paid,new car,4006,Low,Professional,3,male single,2,car,45,own,1,unskilled resident,1,yes,0
Medium,24,existing paid,furniture/equipment,3069,Medium,Expert,4,male single,4,no known property,30,for free,1,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1740,Low,Expert,2,male mar/wid,2,real estate,30,rent,2,skilled,1,yes,1
Medium,21,delayed previously,new car,2353,Low,Professional,1,male div/sep,4,life insurance,47,own,2,skilled,1,yes,1
No Checking,15,existing paid,new car,3556,No Savings,Professional,3,male single,2,no known property,29,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,2397,High,Expert,3,male single,2,car,35,own,2,skilled,1,yes,0
Medium,6,existing paid,repairs,454,Low,Amateur,3,male mar/wid,1,life insurance,22,own,1,unskilled resident,1,yes,1
Medium,30,existing paid,radio/tv,1715,No Savings,Professional,4,female div/dep/mar,1,car,26,own,1,skilled,1,yes,1
Medium,27,critical/other existing credit,radio/tv,2520,High,Professional,4,male single,2,life insurance,23,own,2,unskilled resident,1,yes,0
No Checking,15,existing paid,radio/tv,3568,Low,Expert,4,female div/dep/mar,2,car,54,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,42,existing paid,radio/tv,7166,No Savings,Experienced,2,male mar/wid,4,life insurance,29,rent,1,skilled,1,yes,1
Low,11,critical/other existing credit,new car,3939,Low,Professional,1,male single,2,real estate,40,own,2,unskilled resident,2,yes,1
Medium,15,existing paid,repairs,1514,Medium,Professional,4,male single,2,real estate,22,own,1,skilled,1,yes,1
No Checking,24,existing paid,new car,7393,Low,Professional,1,male single,4,life insurance,43,own,1,unskilled resident,2,yes,1
Low,24,all paid,new car,1193,Low,Unemployed,1,female div/dep/mar,4,no known property,29,rent,2,unemp/unskilled non res,1,yes,0
Low,60,existing paid,business,7297,Low,Expert,4,male single,4,no known property,36,rent,1,skilled,1,yes,0
No Checking,30,critical/other existing credit,radio/tv,2831,Low,Professional,4,female div/dep/mar,2,car,33,own,1,skilled,1,yes,1
High,24,existing paid,radio/tv,1258,High,Professional,3,female div/dep/mar,3,car,57,own,1,unskilled resident,1,yes,1
Medium,6,existing paid,radio/tv,753,Low,Professional,2,female div/dep/mar,3,real estate,64,own,1,skilled,1,yes,1
Medium,18,delayed previously,business,2427,No Savings,Expert,4,male single,2,life insurance,42,own,2,skilled,1,yes,1
No Checking,24,delayed previously,new car,2538,Low,Expert,4,male single,4,car,47,own,2,unskilled resident,2,yes,0
Medium,15,all paid,new car,1264,Medium,Professional,2,male mar/wid,2,life insurance,25,rent,1,skilled,1,yes,0
Medium,30,critical/other existing credit,furniture/equipment,8386,Low,Experienced,2,male single,2,life insurance,49,own,1,skilled,1,yes,0
No Checking,48,existing paid,business,4844,Low,Unemployed,3,male single,2,car,33,rent,1,high qualif/self emp/mgmt,1,yes,0
High,21,existing paid,new car,2923,Medium,Professional,1,female div/dep/mar,1,car,28,own,1,high qualif/self emp/mgmt,1,yes,1
Low,36,existing paid,used car,8229,Low,Professional,2,male single,2,life insurance,26,own,1,skilled,2,yes,0
No Checking,24,critical/other existing credit,furniture/equipment,2028,Low,Experienced,2,male single,2,life insurance,30,own,2,unskilled resident,1,yes,1
Low,15,critical/other existing credit,furniture/equipment,1433,Low,Professional,4,female div/dep/mar,3,life insurance,25,rent,2,skilled,1,yes,1
High,42,no credits/all paid,business,6289,Low,Amateur,2,male div/sep,1,life insurance,33,own,2,skilled,1,yes,1
No Checking,13,existing paid,radio/tv,1409,Medium,Unemployed,2,female div/dep/mar,4,real estate,64,own,1,skilled,1,yes,1
Low,24,existing paid,used car,6579,Low,Unemployed,4,male single,2,no known property,29,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,24,critical/other existing credit,radio/tv,1743,Low,Expert,4,male single,2,life insurance,48,own,2,unskilled resident,1,yes,1
No Checking,12,critical/other existing credit,education,3565,No Savings,Amateur,2,male single,1,life insurance,37,own,2,unskilled resident,2,yes,1
No Checking,15,all paid,radio/tv,1569,Medium,Expert,4,male single,4,car,34,own,1,unskilled resident,2,yes,1
Low,18,existing paid,radio/tv,1936,No Savings,Experienced,2,male mar/wid,4,car,23,rent,2,unskilled resident,1,yes,1
Low,36,existing paid,furniture/equipment,3959,Low,Unemployed,4,male single,3,life insurance,30,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,new car,2390,No Savings,Expert,4,male single,3,car,50,own,1,skilled,1,yes,1
No Checking,12,existing paid,furniture/equipment,1736,Low,Experienced,3,female div/dep/mar,4,real estate,31,own,1,unskilled resident,1,yes,1
Low,30,existing paid,used car,3857,Low,Professional,4,male div/sep,4,life insurance,40,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,radio/tv,804,Low,Expert,4,male single,4,car,38,own,1,skilled,1,yes,1
Low,45,existing paid,radio/tv,1845,Low,Professional,4,male single,4,no known property,23,for free,1,skilled,1,yes,0
Medium,45,critical/other existing credit,used car,4576,Medium,Unemployed,3,male single,4,car,27,own,1,skilled,1,yes,1
