checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Medium,9,existing paid,new car,3195,No Savings,1<=X<4,1,female div/dep/mar,2,real estate,33,own,1,unskilled resident,1,yes,1
No Checking,36,delayed previously,radio/tv,4454,Low,1<=X<4,4,female div/dep/mar,4,real estate,34,own,2,skilled,1,yes,1
Medium,24,critical/other existing credit,furniture/equipment,4736,Low,<1,2,female div/dep/mar,4,car,25,own,1,unskilled resident,1,yes,0
Medium,30,existing paid,radio/tv,2991,No Savings,>=7,2,female div/dep/mar,4,car,25,own,1,skilled,1,yes,1
No Checking,11,existing paid,business,2142,High,>=7,1,male div/sep,2,real estate,28,own,1,skilled,1,yes,1
Low,24,all paid,business,3161,Low,1<=X<4,4,male single,2,life insurance,31,rent,1,skilled,1,yes,0
Medium,48,no credits/all paid,other,18424,Low,1<=X<4,1,female div/dep/mar,2,life insurance,32,own,1,high qualif/self emp/mgmt,1,no,0
No Checking,10,existing paid,used car,2848,Medium,1<=X<4,1,male single,2,real estate,32,own,1,skilled,2,yes,1
Low,6,existing paid,new car,14896,Low,>=7,1,male single,4,no known property,68,own,1,high qualif/self emp/mgmt,1,yes,0
Low,24,existing paid,furniture/equipment,2359,Medium,unemployed,1,male div/sep,1,life insurance,33,own,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,3345,Low,>=7,4,male single,2,life insurance,39,rent,1,high qualif/self emp/mgmt,1,yes,0
No Checking,18,critical/other existing credit,furniture/equipment,1817,Low,1<=X<4,4,female div/dep/mar,2,no known property,28,own,2,skilled,1,yes,1
No Checking,48,delayed previously,radio/tv,12749,High,4<=X<7,4,male single,1,car,37,own,1,high qualif/self emp/mgmt,1,yes,1
Low,9,existing paid,radio/tv,1366,Low,<1,3,female div/dep/mar,4,life insurance,22,rent,1,skilled,1,yes,0
Medium,12,existing paid,new car,2002,Low,4<=X<7,3,male single,4,life insurance,30,rent,1,skilled,2,yes,1
Low,24,all paid,furniture/equipment,6872,Low,<1,2,male div/sep,1,life insurance,55,own,1,skilled,1,yes,0
Low,12,all paid,new car,697,Low,<1,4,male single,2,car,46,own,2,skilled,1,yes,0
Low,18,critical/other existing credit,furniture/equipment,1049,Low,<1,4,female div/dep/mar,4,life insurance,21,rent,1,skilled,1,yes,1
Low,48,existing paid,used car,10297,Low,4<=X<7,4,male single,4,no known property,39,for free,3,skilled,2,yes,0
No Checking,30,existing paid,radio/tv,1867,No Savings,>=7,4,male single,4,car,58,own,1,skilled,1,yes,1
Low,12,delayed previously,new car,1344,Low,1<=X<4,4,male single,2,real estate,43,own,2,unskilled resident,2,yes,1
Low,24,existing paid,furniture/equipment,1747,Low,<1,4,male single,1,life insurance,24,own,1,unskilled resident,1,no,1
Medium,9,existing paid,radio/tv,1670,Low,<1,4,female div/dep/mar,2,car,22,own,1,skilled,1,yes,0
No Checking,9,critical/other existing credit,new car,1224,Low,1<=X<4,3,male single,1,real estate,30,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,522,High,>=7,4,male single,4,life insurance,42,own,2,skilled,2,yes,1
Low,12,existing paid,radio/tv,1498,Low,1<=X<4,4,female div/dep/mar,1,car,23,own,1,skilled,1,yes,1
Medium,30,delayed previously,radio/tv,1919,Medium,<1,4,male single,3,no known property,30,own,2,high qualif/self emp/mgmt,1,yes,0
High,9,existing paid,radio/tv,745,Low,1<=X<4,3,female div/dep/mar,2,real estate,28,own,1,unskilled resident,1,yes,0
Medium,6,existing paid,radio/tv,2063,Low,<1,4,male mar/wid,3,car,30,rent,1,high qualif/self emp/mgmt,1,yes,1
Medium,60,existing paid,education,6288,Low,1<=X<4,4,male single,4,no known property,42,for free,1,skilled,1,yes,0
No Checking,24,critical/other existing credit,used car,6842,No Savings,1<=X<4,2,male single,4,life insurance,46,own,2,high qualif/self emp/mgmt,2,yes,1
No Checking,12,existing paid,new car,3527,No Savings,<1,2,male single,3,life insurance,45,own,1,high qualif/self emp/mgmt,2,yes,1
No Checking,10,existing paid,new car,1546,Low,1<=X<4,3,male single,2,real estate,31,own,1,unskilled resident,2,no,1
No Checking,24,existing paid,furniture/equipment,929,No Savings,4<=X<7,4,male single,2,car,31,own,1,skilled,1,yes,1
No Checking,4,critical/other existing credit,new car,1455,Low,4<=X<7,2,male single,1,real estate,42,own,3,unskilled resident,2,yes,1
Low,15,existing paid,furniture/equipment,1845,Low,<1,4,female div/dep/mar,1,life insurance,46,rent,1,skilled,1,yes,1
Medium,48,no credits/all paid,new car,8358,High,<1,1,female div/dep/mar,1,car,30,own,2,skilled,1,yes,1
Low,24,all paid,furniture/equipment,3349,High,<1,4,male single,4,no known property,30,for free,1,skilled,2,yes,0
No Checking,12,existing paid,new car,2859,No Savings,unemployed,4,male single,4,no known property,38,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,18,existing paid,furniture/equipment,1533,Low,<1,4,male mar/wid,1,life insurance,43,own,1,unskilled resident,2,yes,0
No Checking,24,existing paid,radio/tv,3621,Medium,>=7,2,male single,4,car,31,own,2,skilled,1,yes,0
Medium,18,critical/other existing credit,business,3590,Low,unemployed,3,male mar/wid,3,car,40,own,3,unemp/unskilled non res,2,yes,1
Low,36,delayed previously,business,2145,Low,4<=X<7,2,male single,1,car,24,own,2,skilled,1,yes,0
Medium,24,existing paid,used car,4113,High,<1,3,female div/dep/mar,4,car,28,rent,1,skilled,1,yes,0
No Checking,36,existing paid,furniture/equipment,10974,Low,unemployed,4,female div/dep/mar,2,car,26,own,2,high qualif/self emp/mgmt,1,yes,0
Low,12,existing paid,new car,1893,Low,1<=X<4,4,female div/dep/mar,4,life insurance,29,own,1,skilled,1,yes,1
Low,24,critical/other existing credit,radio/tv,1231,High,>=7,4,female div/dep/mar,4,life insurance,57,rent,2,high qualif/self emp/mgmt,1,yes,1
High,30,critical/other existing credit,radio/tv,3656,No Savings,>=7,4,male single,4,life insurance,49,own,2,unskilled resident,1,yes,1
Medium,9,critical/other existing credit,radio/tv,1154,Low,>=7,2,male single,4,real estate,37,own,3,unskilled resident,1,yes,1
Low,28,existing paid,new car,4006,Low,1<=X<4,3,male single,2,car,45,own,1,unskilled resident,1,yes,0
Medium,24,existing paid,furniture/equipment,3069,Medium,>=7,4,male single,4,no known property,30,for free,1,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1740,Low,>=7,2,male mar/wid,2,real estate,30,rent,2,skilled,1,yes,1
Medium,21,delayed previously,new car,2353,Low,1<=X<4,1,male div/sep,4,life insurance,47,own,2,skilled,1,yes,1
No Checking,15,existing paid,new car,3556,No Savings,1<=X<4,3,male single,2,no known property,29,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,2397,High,>=7,3,male single,2,car,35,own,2,skilled,1,yes,0
Medium,6,existing paid,repairs,454,Low,<1,3,male mar/wid,1,life insurance,22,own,1,unskilled resident,1,yes,1
Medium,30,existing paid,radio/tv,1715,No Savings,1<=X<4,4,female div/dep/mar,1,car,26,own,1,skilled,1,yes,1
Medium,27,critical/other existing credit,radio/tv,2520,High,1<=X<4,4,male single,2,life insurance,23,own,2,unskilled resident,1,yes,0
No Checking,15,existing paid,radio/tv,3568,Low,>=7,4,female div/dep/mar,2,car,54,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,42,existing paid,radio/tv,7166,No Savings,4<=X<7,2,male mar/wid,4,life insurance,29,rent,1,skilled,1,yes,1
Low,11,critical/other existing credit,new car,3939,Low,1<=X<4,1,male single,2,real estate,40,own,2,unskilled resident,2,yes,1
Medium,15,existing paid,repairs,1514,Medium,1<=X<4,4,male single,2,real estate,22,own,1,skilled,1,yes,1
No Checking,24,existing paid,new car,7393,Low,1<=X<4,1,male single,4,life insurance,43,own,1,unskilled resident,2,yes,1
Low,24,all paid,new car,1193,Low,unemployed,1,female div/dep/mar,4,no known property,29,rent,2,unemp/unskilled non res,1,yes,0
Low,60,existing paid,business,7297,Low,>=7,4,male single,4,no known property,36,rent,1,skilled,1,yes,0
No Checking,30,critical/other existing credit,radio/tv,2831,Low,1<=X<4,4,female div/dep/mar,2,car,33,own,1,skilled,1,yes,1
High,24,existing paid,radio/tv,1258,High,1<=X<4,3,female div/dep/mar,3,car,57,own,1,unskilled resident,1,yes,1
Medium,6,existing paid,radio/tv,753,Low,1<=X<4,2,female div/dep/mar,3,real estate,64,own,1,skilled,1,yes,1
Medium,18,delayed previously,business,2427,No Savings,>=7,4,male single,2,life insurance,42,own,2,skilled,1,yes,1
No Checking,24,delayed previously,new car,2538,Low,>=7,4,male single,4,car,47,own,2,unskilled resident,2,yes,0
Medium,15,all paid,new car,1264,Medium,1<=X<4,2,male mar/wid,2,life insurance,25,rent,1,skilled,1,yes,0
Medium,30,critical/other existing credit,furniture/equipment,8386,Low,4<=X<7,2,male single,2,life insurance,49,own,1,skilled,1,yes,0
No Checking,48,existing paid,business,4844,Low,unemployed,3,male single,2,car,33,rent,1,high qualif/self emp/mgmt,1,yes,0
High,21,existing paid,new car,2923,Medium,1<=X<4,1,female div/dep/mar,1,car,28,own,1,high qualif/self emp/mgmt,1,yes,1
Low,36,existing paid,used car,8229,Low,1<=X<4,2,male single,2,life insurance,26,own,1,skilled,2,yes,0
No Checking,24,critical/other existing credit,furniture/equipment,2028,Low,4<=X<7,2,male single,2,life insurance,30,own,2,unskilled resident,1,yes,1
Low,15,critical/other existing credit,furniture/equipment,1433,Low,1<=X<4,4,female div/dep/mar,3,life insurance,25,rent,2,skilled,1,yes,1
High,42,no credits/all paid,business,6289,Low,<1,2,male div/sep,1,life insurance,33,own,2,skilled,1,yes,1
No Checking,13,existing paid,radio/tv,1409,Medium,unemployed,2,female div/dep/mar,4,real estate,64,own,1,skilled,1,yes,1
Low,24,existing paid,used car,6579,Low,unemployed,4,male single,2,no known property,29,for free,1,high qualif/self emp/mgmt,1,yes,1
Medium,24,critical/other existing credit,radio/tv,1743,Low,>=7,4,male single,2,life insurance,48,own,2,unskilled resident,1,yes,1
No Checking,12,critical/other existing credit,education,3565,No Savings,<1,2,male single,1,life insurance,37,own,2,unskilled resident,2,yes,1
No Checking,15,all paid,radio/tv,1569,Medium,>=7,4,male single,4,car,34,own,1,unskilled resident,2,yes,1
Low,18,existing paid,radio/tv,1936,No Savings,4<=X<7,2,male mar/wid,4,car,23,rent,2,unskilled resident,1,yes,1
Low,36,existing paid,furniture/equipment,3959,Low,unemployed,4,male single,3,life insurance,30,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,new car,2390,No Savings,>=7,4,male single,3,car,50,own,1,skilled,1,yes,1
No Checking,12,existing paid,furniture/equipment,1736,Low,4<=X<7,3,female div/dep/mar,4,real estate,31,own,1,unskilled resident,1,yes,1
Low,30,existing paid,used car,3857,Low,1<=X<4,4,male div/sep,4,life insurance,40,own,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,radio/tv,804,Low,>=7,4,male single,4,car,38,own,1,skilled,1,yes,1
Low,45,existing paid,radio/tv,1845,Low,1<=X<4,4,male single,4,no known property,23,for free,1,skilled,1,yes,0
Medium,45,critical/other existing credit,used car,4576,Medium,unemployed,3,male single,4,car,27,own,1,skilled,1,yes,1
